,text,modified_label,modified_pred,original_text,original_pred,original_label
32,"At the beginning of the 19th century, Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) began to appear as early communities in the 1820s.","[{'text': 'Lynchburg', 'value': 'LOCATION'}, {'text': 'Harrisburg', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': ""Rightor's Point""}, {'text': ""Morgan's Point"", 'value': 'LOCATION'}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]","Early communities began to appear at the beginning of the 19th century, including Lynchburg, Harrisburg, and Rightor's Point (modern Morgan's Point) in the 1820s.","[{""text"": ""Lynchburg"", ""value"": ""LOCATION""}, {""text"": ""Harrisburg"", ""value"": ""LOCATION""}, {""text"": ""Rightor's Point"", ""value"": ""LOCATION""}, {""text"": ""Morgan's Point"", ""value"": ""LOCATION""}]","[{'Lynchburg': 'LOCATION'}, {'Harrisburg': 'LOCATION'}, {""Rightor's Point"": 'LOCATION'}, {""Morgan's Point"": 'LOCATION'}]"
33,"It has been used to treat cardiac failure and hypertension, and to treat pre-eclampsia during pregnancy.","[{'text': 'cardiac failure,', 'value': 'MISC'}, {'text': 'hypertension', 'value': 'MISC'}, {'value': 'MISC', 'text': 'pre-eclampsia'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.",[],"[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]"
34,Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Gwadar to Karachi.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'value': 'LOCATION', 'text': ""Pakistan's Arabian Sea coast""}, {'value': 'LOCATION', 'text': 'Gwadar'}, {'text': 'Karachi', 'value': 'LOCATION'}]","[{'Gonu': 'EVENT'}, {'Pakistan': 'LOCATION'}, {'Arabian Sea': 'LOCATION'}, {'Gwadar': 'LOCATION'}, {'Karachi': 'LOCATION'}]",Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{""text"": ""Gonu"", ""value"": ""EVENT""}, {""text"": ""Pakistan"", ""value"": ""LOCATION""}, {""text"": ""Arabian Sea"", ""value"": ""LOCATION""}, {""text"": ""Karachi"", ""value"": ""LOCATION""}, {""text"": ""Gwadar"", ""value"": ""LOCATION""}]","[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]"
35,Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not`` was produced by him.,"[{'text': 'Kim Fowley', 'value': 'PERSON'}, {'text': 'BMX Bandits', 'value': 'ORGANIZATION'}, {'value': 'ORGANIZATION', 'text': 'Receiver Records'}, {'text': 'Hidden Agenda At the Thirteenth Not', 'value': 'ART'}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]",He went on to produce Kim Fowley and the BMX Bandits (band) Receiver Records' album ``Hidden Agenda At the Thirteenth Not``.,"[{""text"": ""Kim Fowley"", ""value"": ""PERSON""}, {""text"": ""BMX Bandits"", ""value"": ""ORGANIZATION""}, {""text"": ""Receiver Records"", ""value"": ""ORGANIZATION""}, {""text"": ""Hidden Agenda At the Thirteenth Not"", ""value"": ""ART""}]","[{'Kim Fowley': 'PERSON'}, {'BMX Bandits': 'ORGANIZATION'}, {'Receiver Records': 'ORGANIZATION'}, {'Hidden Agenda At the Thirteenth Not': 'ART'}]"
36,"During the Battle of Antietam on September 17, 1862, the Veterans Reserve Corps was injured and forced to serve the remainder of the war as an officer in Wilkinson.","[{'text': 'Battle of Antietam', 'value': 'EVENT'}, {'value': 'ORGANIZATION', 'text': 'Veterans Reserve Corps'}, {'value': 'LOCATION', 'text': 'Wilkinson'}]","[{'Battle of Antietam': 'EVENT'}, {'Veterans Reserve Corps': 'ORGANIZATION'}, {'Wilkinson': 'LOCATION'}]","During the Battle of Antietam on September 17, 1862, Wilkinson was injured and forced to serve the remainder of the war as an officer in the Veterans Reserve Corps.","[{""text"": ""Battle of Antietam"", ""value"": ""EVENT""}, {""text"": ""Wilkinson"", ""value"": ""PERSON""}, {""text"": ""Veterans Reserve Corps"", ""value"": ""ORGANIZATION""}]","[{'Battle of Antietam': 'EVENT'}, {'Wilkinson': 'PERSON'}, {'Veterans Reserve Corps': 'ORGANIZATION'}]"
37,Strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar were caused by Gonu.,"[{'text': 'Gonu', 'value': 'EVENT'}, {'text': ""Pakistan's Arabian Sea coast"", 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Karachi'}, {'text': 'Gwadar', 'value': 'LOCATION'}]","[{'Pakistan': 'LOCATION'}, {'Arabian Sea': 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}, {'Gonu': 'EVENT'}]",Gonu caused strong gusty winds and torrential rainfall along Pakistan's Arabian Sea coast from Karachi to Gwadar.,"[{""text"": ""Gonu"", ""value"": ""EVENT""}, {""text"": ""Pakistan"", ""value"": ""LOCATION""}, {""text"": ""Arabian Sea"", ""value"": ""LOCATION""}, {""text"": ""Karachi"", ""value"": ""LOCATION""}, {""text"": ""Gwadar"", ""value"": ""LOCATION""}]","[{'Gonu': 'EVENT'}, {""Pakistan's Arabian Sea coast"": 'LOCATION'}, {'Karachi': 'LOCATION'}, {'Gwadar': 'LOCATION'}]"
38,Victor Cristaldo (born 10 May 1967) is a retired Paraguayan-born Australian professional footballer of Argentine descent.,"[{'text': 'Victor Cristaldo', 'value': 'PERSON'}, {'value': 'MISC', 'text': 'Paraguayan'}, {'text': 'Australia', 'value': 'LOCATION'}, {'value': 'MISC', 'text': 'Argentine'}]","[{'Victor Cristaldo': 'PERSON'}, {'Paraguayan': 'LOCATION'}, {'Australian': 'LOCATION'}, {'Argentine': 'LOCATION'}]",Victor Cristaldo (born 10 May 1967) is a retired Argentine-born Australian professional footballer of Paraguayan descent.,"[{""text"": ""Victor Cristaldo"", ""value"": ""PERSON""}, {""text"": ""Argentine"", ""value"": ""LOCATION""}, {""text"": ""Australia"", ""value"": ""LOCATION""}, {""text"": ""Paraguay"", ""value"": ""LOCATION""}]","[{'Victor Cristaldo': 'PERSON'}, {'Argentine': 'LOCATION'}, {'Australia': 'LOCATION'}, {'Paraguay': 'LOCATION'}]"
39,"Internal conflicts, especially between Baniciu and Covaci, were making headlines in the media.","[{'text': 'Baniciu', 'value': 'PERSON'}, {'text': 'Covaci', 'value': 'PERSON'}]","[{'Baniciu': 'PERSON'}, {'Covaci': 'PERSON'}]","Internal conflicts, especially between Covaci and Baniciu, were making headlines in the media.","[{""text"": ""Covaci"", ""value"": ""PERSON""}, {""text"": ""Baniciu"", ""value"": ""PERSON""}]","[{'Covaci': 'PERSON'}, {'Baniciu': 'PERSON'}]"
40,"Amino acid uses ammonia produced by nitrate reduction, glutamine synthetase degradation, and photorespiration.","[{'value': 'MISC', 'text': 'Glutamine synthetase'}, {'value': 'MISC', 'text': 'ammonia'}, {'text': 'amino acid', 'value': 'NON-ENTITY'}]",[],"Glutamine synthetase uses ammonia produced by nitrate reduction, amino acid degradation, and photorespiration.","[{""text"": ""Glutamine synthetase"", ""value"": ""PRODUCT""}]","[{'Glutamine synthetase': 'OTHER'}, {'ammonia': 'OTHER'}, {'amino acid': 'OTHER'}]"
41,The lowest match aggregate in ODI history for Canada is 91 scored at the 1979 Cricket World Cup against England.,"[{'text': 'Canada', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'value': 'LOCATION', 'text': 'England'}]","[{'Canada': 'LOCATION'}, {'1979 Cricket World Cup': 'EVENT'}, {'England': 'LOCATION'}]",The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"[{""text"": ""England"", ""value"": ""ORGANIZATION""}, {""text"": ""1979 Cricket World Cup"", ""value"": ""EVENT""}, {""text"": ""Canada"", ""value"": ""LOCATION""}]","[{'England': 'ORGANIZATION'}, {'Cricket World Cup': 'EVENT'}, {'Canada': 'ORGANIZATION'}]"
42,Maynooth Seminary was entered by Kenyon in 1829 – the year of Catholic Emancipation.,"[{'text': 'Kenyon', 'value': 'PERSON'}, {'text': 'Maynooth Seminary', 'value': 'LOCATION'}, {'value': 'EVENT', 'text': 'Catholic Emancipation'}]","[{'Maynooth Seminary': 'ORGANIZATION'}, {'Kenyon': 'PERSON'}]",Kenyon entered Maynooth Seminary in 1829 â the year of Catholic Emancipation.,"[{""text"": ""Kenyon"", ""value"": ""PERSON""}, {""text"": ""Maynooth Seminary"", ""value"": ""ORGANIZATION""}]","[{'Kenyon': 'PERSON'}, {'Maynooth Seminary': 'ORGANIZATION'}, {'Catholic Emancipation': 'EVENT'}]"
43,"Somewhat hidden away by the Beinn Eunaich range, it is usually climbed in conjunction with its neighbour Ben Cruachan.","[{'text': 'Beinn Eunaich', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Ben Cruachan'}]","[{'Beinn Eunaich': 'LOCATION'}, {'Ben Cruachan': 'LOCATION'}]","Somewhat hidden away by the Ben Cruachan range, it is usually climbed in conjunction with its neighbour Beinn Eunaich.","[{""text"": ""Ben Cruachan"", ""value"": ""LOCATION""}, {""text"": ""Beinn Eunaich"", ""value"": ""LOCATION""}]","[{'Ben Cruachan': 'LOCATION'}, {'Beinn Eunaich': 'LOCATION'}]"
44,The offices were renovated from buildings in the 1980s.,[],[],The buildings were renovated into offices in the 1980s.,[],[]
45,"A travel guide in 1895 was authored by the founder of Kōeido (the purveyors of Kibi dango), in which he claimed that Kibitsuhiko rolled with his own hand some kibi dango to give to Emperor Jimmu who stopped at Takayama Palace in Okayama.","[{'value': 'ORGANIZATION', 'text': 'Kōeido'}, {'value': 'PRODUCT', 'text': 'Kibi dango'}, {'value': 'PERSON', 'text': 'Kibitsuhiko'}, {'text': 'kibi dango', 'value': 'MISC'}, {'text': 'Jimmu', 'value': 'PERSON'}, {'value': 'LOCATION', 'text': 'Takayama Palace'}, {'text': 'Okayama', 'value': 'LOCATION'}]",[],"The founder of KÅeido (the purveyors of Kibi dango) authored a travel guide in 1895, in which he claimed that Kibitsuhiko rolled with his own hand some kibi dango to give to Emperor Jimmu who stopped at Takayama Palace in Okayama.","[{""text"": ""K\u014deido"", ""value"": ""ORGANIZATION""}, {""text"": ""Kibi dango"", ""value"": ""PRODUCT""}, {""text"": ""Kibitsuhiko"", ""value"": ""PERSON""}, {""text"": ""Emperor Jimmu"", ""value"": ""PERSON""}, {""text"": ""Takayama Palace"", ""value"": ""BUILDING""}, {""text"": ""Okayama"", ""value"": ""LOCATION""}]","[{'K\\u014deido': 'ORGANIZATION'}, {'Kibi dango': 'PRODUCT'}, {'Kibitsuhiko': 'ORGANIZATION'}, {'kibi dango': 'PRODUCT'}, {'Jimmu': 'PERSON'}, {'Takayama Palace': 'BUILDING'}, {'Okayama': 'LOCATION'}]"
46,"The daughter of Khalid Bakdash was married to Jamil, a Syrian politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'value': 'LOCATION', 'text': 'Syria'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Arab', 'value': 'NON-ENTITY'}]","[{'Khalid Bakdash': 'PERSON'}, {'Jamil': 'PERSON'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]","Jamil was married to the daughter of Khalid Bakdash, a Syrian politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{""text"": ""Jamil"", ""value"": ""PERSON""}, {""text"": ""Khalid Bakdash"", ""value"": ""PERSON""}, {""text"": ""Syrian Communist Party"", ""value"": ""ORGANIZATION""}, {""text"": ""Syria"", ""value"": ""LOCATION""}, {""text"": ""Arab"", ""value"": ""LOCATION""}]","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]"
47,Material relating to sexual health issues from 1974-2007 contains this collection.,[],[],This collection contains material relating to sexual health issues from 1974-2007.,[],[]
48,"Moreover, Cousin Mel is actually innocent of the crime, which was instead masterminded by scheming relative Santa, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{'value': 'PERSON', 'text': 'Cousin Mel'}, {'value': 'PERSON', 'text': 'Santa'}]","[{'Cousin Mel': 'PERSON'}, {'Santa': 'PERSON'}]","Moreover, Santa is actually innocent of the crime, which was instead masterminded by scheming relative Cousin Mel, who is mentioned briefly in the song but made into a gold-digging villainness in the special.","[{""text"": ""Santa"", ""value"": ""PERSON""}, {""text"": ""Cousin Mel"", ""value"": ""PERSON""}]","[{'Santa': 'PERSON'}, {'Cousin Mel': 'PERSON'}]"
49,"A playable character in the multiplayer online battle arena, ``SMITE'', is Anhur.","[{'value': 'PRODUCT', 'text': 'Anhur'}]","[{'SMITE': 'PRODUCT'}, {'Anhur': 'PERSON'}]","Anhur is a playable character in the multiplayer online battle arena, ``SMITE''.","[{""text"": ""Anhur"", ""value"": ""PERSON""}, {""text"": ""SMITE"", ""value"": ""PRODUCT""}]",[{'Anhur': 'OTHER'}]
50,A spin-off of Murphy Oil was founded in 2013.,"[{'value': 'PRODUCT', 'text': 'Murphy Oil'}]",[{'Murphy Oil': 'ORGANIZATION'}],It was founded as a spin-off of Murphy Oil in 2013.,"[{""text"": ""Murphy Oil"", ""value"": ""ORGANIZATION""}]",[{'Murphy Oil': 'ORGANIZATION'}]
51,A batch of A1 Pacifics they had built in 1924 used several features from them.,"[{'text': 'A1 Pacifics', 'value': 'BUILDING'}]",[{'A1 Pacifics': 'PRODUCT'}],They used several features from a batch of A1 Pacifics they had built in 1924.,"[{""text"": ""A1 Pacifics"", ""value"": ""PRODUCT""}]",[{'A1 Pacifics': 'PRODUCT'}]
52,"However, in 1861 this obstacle to political change removed the prospect of secession by southern states after the 1860 presidential election.",[],"[{'1861': 'EVENT'}, {'1860': 'EVENT'}]","However, in 1861 the prospect of secession by southern states after the 1860 presidential election removed this obstacle to political change.","[{""text"": ""1861"", ""value"": ""EVENT""}, {""text"": ""1860"", ""value"": ""EVENT""}]",[]
53,"Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Castlevania IV`` and ``Super Metroid.''","[{'value': 'PERSON', 'text': 'Allistair Pinsof'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'value': 'PRODUCT', 'text': 'Super Castlevania IV'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Castlevania IV': 'PRODUCT'}, {'Super Metroid': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]"
54,"Khalid Bakdash was married to the daughter of Jamil, a Syrian politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{'text': 'Jamil', 'value': 'PERSON'}, {'text': 'Khalid Bakdash', 'value': 'PERSON'}, {'value': 'LOCATION', 'text': 'Syria'}, {'text': 'Syrian Communist Party', 'value': 'ORGANIZATION'}, {'text': 'Arab', 'value': 'MISC'}]","[{'Khalid Bakdash': 'PERSON'}, {'Jamil': 'PERSON'}, {'Syrian': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]","Jamil was married to the daughter of Khalid Bakdash, a Syrian politician who was the Secretary-General of the Syrian Communist Party and the first communist to be an elected member of an Arab parliament in 1954.","[{""text"": ""Jamil"", ""value"": ""PERSON""}, {""text"": ""Khalid Bakdash"", ""value"": ""PERSON""}, {""text"": ""Syrian Communist Party"", ""value"": ""ORGANIZATION""}, {""text"": ""Syria"", ""value"": ""LOCATION""}, {""text"": ""Arab"", ""value"": ""LOCATION""}]","[{'Jamil': 'PERSON'}, {'Khalid Bakdash': 'PERSON'}, {'Syria': 'LOCATION'}, {'Syrian Communist Party': 'ORGANIZATION'}, {'Arab': 'LOCATION'}]"
55,"The game, of ``Destructoid``, was praised by Allistair Pinsof, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{'text': 'Allistair Pinsof', 'value': 'PERSON'}, {'text': 'Destructoid', 'value': 'ORGANIZATION'}, {'text': 'Super Metroid', 'value': 'PRODUCT'}, {'text': 'Super Castlevania IV', 'value': 'PRODUCT'}]","[{'Destructoid': 'ORGANIZATION'}, {'Allistair Pinsof': 'PERSON'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]","Allistair Pinsof of ``Destructoid``, praised the game, saying the controls were as good as that of ``Super Metroid`` and ``Super Castlevania IV.''","[{""text"": ""Allistair Pinsof"", ""value"": ""PERSON""}, {""text"": ""Destructoid"", ""value"": ""ORGANIZATION""}, {""text"": ""Super Metroid"", ""value"": ""PRODUCT""}, {""text"": ""Super Castlevania IV"", ""value"": ""PRODUCT""}]","[{'Allistair Pinsof': 'PERSON'}, {'Destructoid': 'ORGANIZATION'}, {'Super Metroid': 'PRODUCT'}, {'Super Castlevania IV': 'PRODUCT'}]"
56,"At a festival, Vin is saved from being shot at by Siddhi by Rudra.","[{'value': 'PERSON', 'text': 'Vin'}, {'value': 'PERSON', 'text': 'Siddhi'}, {'text': 'Rudra', 'value': 'PERSON'}]","[{'Vin': 'PERSON'}, {'Siddhi': 'PERSON'}, {'Rudra': 'PERSON'}]","At a festival, Siddhi saves Vin from being shot at by Rudra.","[{""text"": ""Siddhi"", ""value"": ""PERSON""}, {""text"": ""Vin"", ""value"": ""PERSON""}, {""text"": ""Rudra"", ""value"": ""PERSON""}]","[{'Siddhi': 'PERSON'}, {'Vin': 'PERSON'}, {'Rudra': 'PERSON'}]"
57,"Hypertension and cardiac failure have been treated with it, and pre-eclampsia during pregnancy has been treated as well.","[{'text': 'hypertension', 'value': 'MISC'}, {'value': 'MISC', 'text': 'cardiac failure,'}, {'text': 'pre-eclampsia', 'value': 'MISC'}]",[],"It has been used to treat hypertension and cardiac failure, and to treat pre-eclampsia during pregnancy.",[],"[{'hypertension': 'OTHER'}, {'cardiac failure,': 'OTHER'}, {'pre-eclampsia': 'OTHER'}]"
58,"Genre classics, older movies, and underground cult films, with occasional stabs at mainstream and newer genre pieces, are focused on by Back to Basics.","[{'text': 'Back to Basics', 'value': 'ART'}]",[{'Back to Basics': 'PRODUCT'}],"Back to Basics focuses on genre classics, showing older movies and underground cult films, with occasional stabs at mainstream and newer genre pieces.","[{""text"": ""Back to Basics"", ""value"": ""PRODUCT""}]",[{'Back to Basics': 'ORGANIZATION'}]
59,PO43− phosphorylation is the addition of a tyrosine (amino acid tyrosine) group to the phosphate PO43− on a protein.,"[{'text': 'amino acid tyrosine', 'value': 'MISC'}, {'text': 'PO43−', 'value': 'MISC'}]","[{'PO43−': 'PRODUCT'}, {'tyrosine': 'PRODUCT'}]",Tyrosine phosphorylation is the addition of a phosphate (PO43â) group to the amino acid tyrosine on a protein.,[],"[{'PO43\\u2212': 'OTHER'}, {'amino acid tyrosine': 'OTHER'}]"
60,In 1955 an early model of the Boeing B-52 Stratofortress began being received by it and to various models over the next 40 years it upgraded.,"[{'text': 'Boeing B-52', 'value': 'PRODUCT'}]",[{'Boeing B-52 Stratofortress': 'PRODUCT'}],In 1955 it began receiving an early model of the Boeing B-52 Stratofortress and upgraded to various models over the next 40 years.,"[{""text"": ""Boeing B-52 Stratofortress"", ""value"": ""PRODUCT""}]",[{'Boeing B-52': 'PRODUCT'}]
61,"Hunt represents the 8th legislative district in Dundee, consisting of the midtown neighborhoods of Omaha, Benson, and Keystone.","[{'value': 'LOCATION', 'text': 'Hunt'}, {'text': 'Dundee', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Omaha'}, {'text': 'Benson', 'value': 'LOCATION'}, {'text': 'Keystone', 'value': 'LOCATION'}]","[{'Hunt': 'PERSON'}, {'Dundee': 'LOCATION'}, {'Omaha': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{""text"": ""Hunt"", ""value"": ""PERSON""}, {""text"": ""Omaha"", ""value"": ""LOCATION""}, {""text"": ""Dundee"", ""value"": ""LOCATION""}, {""text"": ""Benson"", ""value"": ""LOCATION""}, {""text"": ""Keystone"", ""value"": ""LOCATION""}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]"
62,"The peasantry was also aggrieved, and between 1846 and 1848 Sturdza intensified opposition.","[{'text': 'Sturdza', 'value': 'PERSON'}]",[{'Sturdza': 'PERSON'}],"The peasantry was also aggrieved, and between 1846 and 1848 opposition to Sturdza intensified.","[{""text"": ""Sturdza"", ""value"": ""PERSON""}]",[{'Sturdza': 'PERSON'}]
63,Del Imaginario Discos's Argentina also released the album in 2007.,"[{'text': 'Del Imaginario Discos', 'value': 'ART'}, {'text': 'Argentina', 'value': 'LOCATION'}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]"
64,"All three goals came after Amrinder came on, resulting in Pune losing the match 1–3.","[{'text': 'Pune', 'value': 'ORGANIZATION'}, {'text': 'Amrinder', 'value': 'PERSON'}]","[{'Amrinder': 'PERSON'}, {'Pune': 'LOCATION'}]",Pune lost the match 1â3 with all three goals coming after Amrinder came on.,"[{""text"": ""Pune"", ""value"": ""LOCATION""}, {""text"": ""Amrinder"", ""value"": ""PERSON""}]","[{'Pune': 'ORGANIZATION'}, {'Amrinder': 'PERSON'}]"
65,The album was also released by Del Imaginario Discos in Argentina in 2007.,"[{'text': 'Del Imaginario Discos', 'value': 'ORGANIZATION'}, {'text': 'Argentina', 'value': 'LOCATION'}]","[{'Del Imaginario Discos': 'ORGANIZATION'}, {'Argentina': 'LOCATION'}]",Argentina's Del Imaginario Discos also released the album in 2007.,"[{""text"": ""Argentina"", ""value"": ""LOCATION""}, {""text"": ""Del Imaginario Discos"", ""value"": ""ORGANIZATION""}]","[{'Argentina': 'LOCATION'}, {'Del Imaginario Discos': 'ORGANIZATION'}]"
66,"The 8th legislative district in Omaha is represented by Hunt, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{'text': 'Hunt', 'value': 'LOCATION'}, {'text': 'Omaha', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Dundee'}, {'text': 'Benson', 'value': 'LOCATION'}, {'value': 'LOCATION', 'text': 'Keystone'}]","[{'8th legislative district': 'ORGANIZATION'}, {'Omaha': 'LOCATION'}, {'Hunt': 'PERSON'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]","Hunt represents the 8th legislative district in Omaha, consisting of the midtown neighborhoods of Dundee, Benson, and Keystone.","[{""text"": ""Hunt"", ""value"": ""PERSON""}, {""text"": ""Omaha"", ""value"": ""LOCATION""}, {""text"": ""Dundee"", ""value"": ""LOCATION""}, {""text"": ""Benson"", ""value"": ""LOCATION""}, {""text"": ""Keystone"", ""value"": ""LOCATION""}]","[{'Hunt': 'PERSON'}, {'Omaha': 'LOCATION'}, {'Dundee': 'LOCATION'}, {'Benson': 'LOCATION'}, {'Keystone': 'LOCATION'}]"
67,``Gayachintamani`` and ``Kshatrachudamini`` in prose were written by his pupil Vadeebhasimha based on poet Banas ``Kadambari`` and ``Charitarasara`` was written by minister Chavundaraya.,"[{'text': 'Gayachintamani', 'value': 'ART'}, {'text': 'Kshatrachudamini', 'value': 'ART'}, {'value': 'PERSON', 'text': 'Vadeebhasimha'}, {'value': 'PERSON', 'text': 'Banas'}, {'text': 'Kadambari', 'value': 'PERSON'}, {'value': 'ART', 'text': 'Charitarasara'}, {'text': 'Chavundaraya', 'value': 'PERSON'}]",[],His pupil Vadeebhasimha wrote in prose ``Gayachintamani`` and ``Kshatrachudamini`` based on poet Banas ``Kadambari`` and minister Chavundaraya wrote ``Charitarasara``.,"[{""text"": ""Vadeebhasimha"", ""value"": ""PERSON""}, {""text"": ""Gayachintamani"", ""value"": ""ART""}, {""text"": ""Kshatrachudamini"", ""value"": ""ART""}, {""text"": ""Banas"", ""value"": ""PERSON""}, {""text"": ""Kadambari"", ""value"": ""ART""}, {""text"": ""Chavundaraya"", ""value"": ""PERSON""}, {""text"": ""Charitarasara"", ""value"": ""ART""}]","[{'Vadeebhasimha': 'PERSON'}, {'Gayachintamani': 'ART'}, {'Kshatrachudamini': 'ART'}, {'Banas': 'PERSON'}, {'Kadambari': 'ART'}, {'Chavundaraya': 'PERSON'}, {'Charitarasara': 'ART'}]"
68,"A green artery from the centre of Manchester to the West Pennine Moors was proposed to be created by the Croal Irwell Regional Park Project Proposal, announced in June 2003, supported by Salford, Bury and Bolton councils and the Red Rose Forest.","[{'text': 'Croal Irwell Regional Park Project Proposal', 'value': 'MISC'}, {'text': 'Manchester', 'value': 'LOCATION'}, {'text': 'West Pennine Moors', 'value': 'LOCATION'}, {'text': 'Salford', 'value': 'LOCATION'}, {'text': 'Bury', 'value': 'ORGANIZATION'}, {'text': 'Bolton', 'value': 'LOCATION'}, {'value': 'MISC', 'text': 'Red Rose Forest'}]","[{'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Croal Irwell Regional Park Project': 'ORGANIZATION'}, {'Salford': 'LOCATION'}, {'Bury': 'LOCATION'}, {'Bolton': 'LOCATION'}, {'Red Rose Forest': 'ORGANIZATION'}]","The Croal Irwell Regional Park Project Proposal to create a green artery from the centre of Manchester to the West Pennine Moors was announced in June 2003 supported by Salford, Bury and Bolton councils and the Red Rose Forest.","[
    {""text"": ""Croal Irwell Regional Park"", ""value"": ""LOCATION""},
    {""text"": ""Manchester"", ""value"": ""LOCATION""},
    {""text"": ""West Pennine Moors"", ""value"": ""LOCATION""},
    {""text"": ""Salford"", ""value"": ""ORGANIZATION""},
    {""text"": ""Bury"", ""value"": ""ORGANIZATION""},
    {""text"": ""Bolton"", ""value"": ""ORGANIZATION""},
    {""text"": ""Red Rose Forest"", ""value"": ""ORGANIZATION""}
]","[{'Croal Irwell Regional Park Project Proposal': 'PRODUCT'}, {'Manchester': 'LOCATION'}, {'West Pennine Moors': 'LOCATION'}, {'Salford': 'LOCATION'}, {'Bury': 'LOCATION'}, {'Bolton': 'LOCATION'}, {'Red Rose Forest': 'ORGANIZATION'}]"
