model,modification,task,model_type,accuracy,total_samples,filename
llama,coordinating_conjunction_compare,ner,llm,0.0,61,llama-0shot-coordinating_conjunction_100_compare
claude,grammatical_role_compare,ner,llm,0.0,83,claude-0shot-grammatical_role_100_compare
claude,dialectal_compare,ner,llm,0.0,99,claude-0shot-dialectal_100_compare
gpt4o,compound_word_new,ner,llm,0.0,86,gpt4o-0shot-compound_word_100_new
claude,geographical_bias_new,ner,llm,0.0,102,claude-0shot-geographical_bias_100_new
claude,singlish,ner,llm,0.0,96,claude-0shot-singlish_100
llama,active_to_passive_new,ner,llm,0.0,81,llama-0shot-active_to_passive_100_new
gpt-5,capitalization,ner,llm,0.0,100,gpt-5-standard-0shot-capitalization_100
gpt-5,compound_word,ner,llm,0.0,86,gpt-5-standard-0shot-compound_word_100
gpt-5,active_to_passive,ner,llm,0.0,81,gpt-5-standard-0shot-active_to_passive_100
llama,compound_word_new,ner,llm,0.0,86,llama-0shot-compound_word_100_new
claude,coordinating_conjunction_compare,ner,llm,0.0,61,claude-0shot-coordinating_conjunction_100_compare
gpt4o,capitalization_new,ner,llm,0.0,100,gpt4o-0shot-capitalization_100_new
gpt4o,sentiment,ner,llm,0.0,123,gpt4o-0shot-sentiment_100
claude,derivation,ner,llm,0.0,69,claude-0shot-derivation_100
llama,negation_new,ner,llm,0.0,110,llama-0shot-negation_100_new
gpt4o,punctuation,ner,llm,0.0,100,gpt4o-0shot-punctuation_100
gpt-5,grammatical_role,ner,llm,0.0,83,gpt-5-standard-0shot-grammatical_role_100
gpt4o,length_bias,ner,llm,0.0,92,gpt4o-0shot-length_bias_100
gpt-5,casual,ner,llm,0.0,98,gpt-5-standard-0shot-casual_100
llama,active_to_passive_compare,ner,llm,0.0,81,llama-0shot-active_to_passive_100_compare
gpt4o,typo_bias_compare,ner,llm,0.0,100,gpt4o-0shot-typo_bias_100_compare
gpt4o,dialectal,ner,llm,0.0,99,gpt4o-0shot-dialectal_100
gpt4o,geographical_bias_new,ner,llm,0.0,102,gpt4o-0shot-geographical_bias_100_new
gpt-5,concept_replacement,ner,llm,0.0,85,gpt-5-standard-0shot-concept_replacement_100
claude,negation_compare,ner,llm,0.0,110,claude-0shot-negation_100_compare
gpt4o,grammatical_role_compare,ner,llm,0.0,83,gpt4o-0shot-grammatical_role_100_compare
llama,typo_bias_compare,ner,llm,0.0,100,llama-0shot-typo_bias_100_compare
gpt4o,typo_bias,ner,llm,0.0,100,gpt4o-0shot-typo_bias_100
llama,discourse_new,ner,llm,0.0,72,llama-0shot-discourse_100_new
gpt-5,ner,ner,llm,8.032128514056225,249,gpt-5-standard-0shot-ner
gpt4o,geographical_bias_compare,ner,llm,0.0,102,gpt4o-0shot-geographical_bias_100_compare
claude,negation,ner,llm,0.0,110,claude-0shot-negation_100
llama,dialectal_new,ner,llm,0.0,99,llama-0shot-dialectal_100_new
llama,capitalization_new,ner,llm,0.0,100,llama-0shot-capitalization_100_new
llama,derivation,ner,llm,0.0,69,llama-0shot-derivation_100
claude,concept_replacement_compare,ner,llm,0.0,85,claude-0shot-concept_replacement_100_compare
llama,typo_bias_new,ner,llm,0.0,100,llama-0shot-typo_bias_100_new
llama,grammatical_role_compare,ner,llm,0.0,83,llama-0shot-grammatical_role_100_compare
claude,sentiment_new,ner,llm,0.0,123,claude-0shot-sentiment_100_new
gpt-5,temporal_bias,ner,llm,0.0,91,gpt-5-standard-0shot-temporal_bias_100
claude,singlish_new,ner,llm,0.0,96,claude-0shot-singlish_100_new
claude,geographical_bias_compare,ner,llm,0.0,102,claude-0shot-geographical_bias_100_compare
llama,length_bias_new,ner,llm,0.0,92,llama-0shot-length_bias_100_new
claude,ner,ner,llm,8.366533864541832,251,claude-0shot-ner
gpt4o,casual_new,ner,llm,0.0,98,gpt4o-0shot-casual_100_new
claude,derivation_compare,ner,llm,0.0,69,claude-0shot-derivation_100_compare
llama,negation_compare,ner,llm,0.0,110,llama-0shot-negation_100_compare
claude,discourse,ner,llm,0.0,72,claude-0shot-discourse_100
claude,coordinating_conjunction_new,ner,llm,0.0,61,claude-0shot-coordinating_conjunction_100_new
gpt4o,length_bias_compare,ner,llm,0.0,92,gpt4o-0shot-length_bias_100_compare
gpt4o,coordinating_conjunction_new,ner,llm,0.0,61,gpt4o-0shot-coordinating_conjunction_100_new
claude,casual_new,ner,llm,0.0,98,claude-0shot-casual_100_new
gpt4o,negation,ner,llm,0.0,110,gpt4o-0shot-negation_100
gpt4o,negation_compare,ner,llm,0.0,110,gpt4o-0shot-negation_100_compare
claude,typo_bias_compare,ner,llm,0.0,100,claude-0shot-typo_bias_100_compare
gpt4o,concept_replacement,ner,llm,0.0,85,gpt4o-0shot-concept_replacement_100
gpt4o,compound_word,ner,llm,0.0,86,gpt4o-0shot-compound_word_100
gpt4o,negation_new,ner,llm,0.0,110,gpt4o-0shot-negation_100_new
llama,sentiment,ner,llm,0.0,123,llama-0shot-sentiment_100
gpt-5,typo_bias,ner,llm,0.0,100,gpt-5-standard-0shot-typo_bias_100
gpt4o,active_to_passive_new,ner,llm,0.0,81,gpt4o-0shot-active_to_passive_100_new
gpt4o,concept_replacement_new,ner,llm,0.0,85,gpt4o-0shot-concept_replacement_100_new
gpt-5,geographical_bias,ner,llm,0.0,102,gpt-5-standard-0shot-geographical_bias_100
claude,punctuation_compare,ner,llm,0.0,100,claude-0shot-punctuation_100_compare
gpt-5,dialectal,ner,llm,0.0,96,gpt-5-standard-0shot-dialectal_100
gpt4o,temporal_bias_compare,ner,llm,0.0,91,gpt4o-0shot-temporal_bias_100_compare
llama,concept_replacement,sa,llm,0.0,100,llama-0shot-concept_replacement_100
claude,singlish,sa,llm,0.0,102,claude-3-5-sonnet-0shot-singlish_100
mixtral,length_bias,sa,llm,0.0,100,mixtral-0shot-length_bias_100
llama,negation,sa,llm,0.0,96,llama-0shot-negation_100
llama,temporal_bias,sa,llm,0.0,100,llama-0shot-temporal_bias_100
mixtral,punctuation,sa,llm,0.0,100,mixtral-0shot-punctuation_100
gpt4o,coordinating_conjunction,sa,llm,0.0,100,gpt4o-0shot-coordinating_conjunction_100
llama,grammatical_role,sa,llm,0.0,66,llama-0shot-grammatical_role_100
gpt4o,grammatical_role,sa,llm,0.0,66,gpt4o-0shot-grammatical_role_100
llama,discourse,sa,llm,0.0,99,llama-0shot-discourse_100
llama,coordinating_conjunction,sa,llm,0.0,100,llama-0shot-coordinating_conjunction_100
claude,geographical_bias,sa,llm,0.0,100,claude-3-5-sonnet-0shot-geographical_bias_100
gpt4o,cot-sst2_typo_bias,sa,llm,0.0,100,gpt4o-0shot-cot-sst2_typo_bias
mixtral,discourse,sa,llm,0.0,99,mixtral-0shot-discourse_100
mixtral,sst2,sa,llm,94.38073394495413,872,mixtral-0shot-sst2
mixtral,temporal_bias,sa,llm,0.0,100,mixtral-0shot-temporal_bias_100
mixtral,coordinating_conjunction,sa,llm,0.0,100,mixtral-0shot-coordinating_conjunction_100
claude,3-5-sonnet-cot-sst2,sa,llm,0.0,872,claude-3-5-sonnet-cot-sst2
gpt4o,cot-sst2,sa,llm,87.1559633027523,872,gpt4o-0shot-cot-sst2
llama,geographical_bias,sa,llm,0.0,100,llama-0shot-geographical_bias_100
mixtral,8x22b-sst2,sa,llm,83.37155963302753,872,mixtral-8x22b-sst2
llama,sst2,sa,llm,95.52752293577981,872,llama-0shot-sst2
gpt4o,geographical_bias,sa,llm,0.0,100,gpt4o-0shot-geographical_bias_100
gpt-5,derivation,sa,llm,0.0,87,gpt-5-standard-0shot-derivation_100
claude,discourse,sa,llm,0.0,99,claude-3-5-sonnet-0shot-discourse_100
gpt4o,capitalization,sa,llm,0.0,99,gpt4o-0shot-capitalization_100
claude,concept_replacement,sa,llm,0.0,100,claude-3-5-sonnet-0shot-concept_replacement_100
llama,punctuation,sa,llm,0.0,100,llama-0shot-punctuation_100
llama3.1_8B,sst2,sa,llm,0.0,872,llama3.1_8B-0shot-sst2
llama,length_bias,sa,llm,0.0,100,llama-0shot-length_bias_100
mixtral,capitalization,sa,llm,0.0,99,mixtral-0shot-capitalization_100
llama,capitalization,sa,llm,0.0,99,llama-0shot-capitalization_100
gpt-5,coordinating_conjunction,sa,llm,0.0,100,gpt-5-standard-0shot-coordinating_conjunction_100
claude,sst2,sa,llm,91.5137614678899,872,claude-3-5-sonnet-0shot-sst2
gpt4o,discourse,sa,llm,0.0,99,gpt4o-0shot-discourse_100
claude,active_to_passive,sa,llm,0.0,100,claude-3-5-sonnet-0shot-active_to_passive_100
gpt4o,sst2_typo_bias,sa,llm,0.0,100,gpt4o-0shot-sst2_typo_bias
gpt4o,casual,sa,llm,0.0,100,gpt4o-0shot-casual_100
claude,capitalization,sa,llm,0.0,99,claude-3-5-sonnet-0shot-capitalization_100
mixtral,compound_word,sa,llm,0.0,95,mixtral-0shot-compound_word_100
llama,singlish,sa,llm,0.0,102,llama-0shot-singlish_100
claude,negation,sa,llm,0.0,96,claude-3-5-sonnet-0shot-negation_100
gpt-5,DP,sa,llm,0.0,18,gpt-5-standard-DP
gpt-5,punctuation,sa,llm,0.0,100,gpt-5-standard-0shot-punctuation_100
gpt-5,length_bias,sa,llm,0.0,100,gpt-5-standard-0shot-length_bias_100
mixtral,negation,sa,llm,0.0,100,mixtral-0shot-negation_100
gpt-5,discourse,sa,llm,0.0,99,gpt-5-standard-0shot-discourse_100
llama,active_to_passive,sa,llm,0.0,100,llama-0shot-active_to_passive_100
claude,grammatical_role,sa,llm,0.0,66,claude-3-5-sonnet-0shot-grammatical_role_100
llama,compound_word,sa,llm,0.0,95,llama-0shot-compound_word_100
gpt4o,active_to_passive,sa,llm,0.0,100,gpt4o-0shot-active_to_passive_100
llama3_405B,sst2,sa,llm,85.89449541284404,872,llama3_405B-0shot-sst2
gpt4o,derivation,sa,llm,0.0,87,gpt4o-0shot-derivation_100
llama,dialectal,sa,llm,0.0,100,llama-0shot-dialectal_100
gpt4o,sst2_punctuation,sa,llm,0.0,100,gpt4o-0shot-sst2_punctuation
gpt4o,singlish,sa,llm,0.0,102,gpt4o-0shot-singlish_100
gpt-5,sentiment,sa,llm,0.0,100,gpt-5-standard-0shot-sentiment_100
gpt-5,sst2,sa,llm,95.06880733944955,872,gpt-5-standard-0shot-sst2
llama3.1_70b,sst2,sa,llm,0.0,872,llama3.1_70b-0shot-sst2
llama,typo_bias,sa,llm,0.0,100,llama-0shot-typo_bias_100
gpt4o,temporal_bias,sa,llm,0.0,100,gpt4o-0shot-temporal_bias_100
claude,punctuation,sa,llm,0.0,100,claude-3-5-sonnet-0shot-punctuation_100
gpt4o,cot-sst2_punctuation,sa,llm,0.0,100,gpt4o-0shot-cot-sst2_punctuation
claude,length_bias,sa,llm,0.0,100,claude-3-5-sonnet-0shot-length_bias_100
claude,temporal_bias,sa,llm,0.0,100,claude-3-5-sonnet-0shot-temporal_bias_100
gpt-5,negation,sa,llm,0.0,96,gpt-5-standard-0shot-negation_100
mixtral,typo_bias,sa,llm,0.0,100,mixtral-0shot-typo_bias_100
gpt-5,capitalization,sa,llm,0.0,99,gpt-5-standard-0shot-capitalization_100
mixtral,geographical_bias,sa,llm,0.0,100,mixtral-0shot-geographical_bias_100
gpt-5,compound_word,sa,llm,0.0,95,gpt-5-standard-0shot-compound_word_100
gpt4o,cot-sst2_capitalization,sa,llm,0.0,100,gpt4o-0shot-cot-sst2_capitalization
mixtral,dialectal,sa,llm,0.0,100,mixtral-0shot-dialectal_100
gpt-5,active_to_passive,sa,llm,0.0,100,gpt-5-standard-0shot-active_to_passive_100
claude,typo_bias,sa,llm,0.0,100,claude-3-5-sonnet-0shot-typo_bias_100
gpt4o,sentiment,sa,llm,0.0,100,gpt4o-0shot-sentiment_100
claude,dialectal,sa,llm,0.0,100,claude-3-5-sonnet-0shot-dialectal_100
gpt4o,punctuation,sa,llm,0.0,100,gpt4o-0shot-punctuation_100
gpt-5,grammatical_role,sa,llm,0.0,66,gpt-5-standard-0shot-grammatical_role_100
gpt4o,length_bias,sa,llm,0.0,100,gpt4o-0shot-length_bias_100
gpt-5,casual,sa,llm,0.0,100,gpt-5-standard-0shot-casual_100
mixtral,grammatical_role,sa,llm,0.0,66,mixtral-0shot-grammatical_role_100
gpt4o,dialectal,sa,llm,0.0,100,gpt4o-0shot-dialectal_100
llama,casual,sa,llm,0.0,100,llama-0shot-casual_100
gpt-5,concept_replacement,sa,llm,0.0,100,gpt-5-standard-0shot-concept_replacement_100
claude,3-5-sonnet-DP,sa,llm,0.0,18,claude-3-5-sonnet-DP
mixtral,concept_replacement,sa,llm,0.0,100,mixtral-0shot-concept_replacement_100
gpt4o,typo_bias,sa,llm,0.0,100,gpt4o-0shot-typo_bias_100
claude,sentiment,sa,llm,0.0,100,claude-3-5-sonnet-0shot-sentiment_100
gpt4o,sst2_capitalization,sa,llm,0.0,100,gpt4o-0shot-sst2_capitalization
claude,coordinating_conjunction,sa,llm,0.0,100,claude-3-5-sonnet-0shot-coordinating_conjunction_100
llama,derivation,sa,llm,0.0,87,llama-0shot-derivation_100
gpt-5,temporal_bias,sa,llm,0.0,100,gpt-5-standard-0shot-temporal_bias_100
mixtral,derivation,sa,llm,0.0,95,mixtral-0shot-derivation_100
mixtral,sentiment,sa,llm,0.0,100,mixtral-0shot-sentiment_100
claude,compound_word,sa,llm,0.0,95,claude-3-5-sonnet-0shot-compound_word_100
claude,casual,sa,llm,0.0,100,claude-3-5-sonnet-0shot-casual_100
mixtral,casual,sa,llm,0.0,100,mixtral-0shot-casual_100
mixtral,8x22b-cot-sst2,sa,llm,88.53211009174312,872,mixtral-8x22b-cot-sst2
gpt4o,negation,sa,llm,0.0,96,gpt4o-0shot-negation_100
gpt4o,concept_replacement,sa,llm,0.0,100,gpt4o-0shot-concept_replacement_100
gpt4o,compound_word,sa,llm,0.0,95,gpt4o-0shot-compound_word_100
llama,sentiment,sa,llm,0.0,100,llama-0shot-sentiment_100
gpt4o,sst2,sa,llm,93.69266055045871,872,gpt4o-0shot-sst2
gpt-5,typo_bias,sa,llm,0.0,100,gpt-5-standard-0shot-typo_bias_100
claude,derivation,sa,llm,0.0,87,claude-3-5-sonnet-0shot-derivation_100
gpt-5,geographical_bias,sa,llm,0.0,100,gpt-5-standard-0shot-geographical_bias_100
gpt-5,dialectal,sa,llm,0.0,102,gpt-5-standard-0shot-dialectal_100
mixtral,active_to_passive,sa,llm,0.0,100,mixtral-0shot-active_to_passive_100
